;cep;bairro
4865;90830-700;Santa Tereza
4866;90870-311;Medianeira
4867;91910-004;Camaquã
4868;91740-070;Nonoai
4869;90840-080;Santa Tereza
4870;91755-390;Aberta dos Morros
4871;90820-110;Cristal
4872;91920-660;Tristeza
4873;91750-082;Campo Novo
4874;91712-091;Cascata
4875;91430-470;Jardim Carvalho
4876;91520-532;Vila São José
4877;91710-081;Coronel Aparício Borges
4878;91720-012;Cascata
4879;91720-622;Cascata
4880;91740-521;Vila Nova
4881;91780-601;Ponta Grossa
4882;91787-381;Belém Velho
4883;91900-280;Tristeza
4884;91910-260;Camaquã
4885;91740-813;Vila Nova
4886;91430-490;Jardim Carvalho
4887;91120-260;Sarandi
4888;90245-001;Farrapos
4889;91540-500;Agronomia
4890;90830-700;Santa Tereza
4891;90870-311;Medianeira
4892;91910-004;Camaquã
4893;91740-070;Nonoai
4894;90840-080;Santa Tereza
4895;91755-390;Aberta dos Morros
4896;90820-110;Cristal
4897;91920-660;Tristeza
4898;91750-082;Campo Novo
4899;91712-091;Cascata
4900;91430-470;Jardim Carvalho
4901;91520-532;Vila São José
4902;91710-081;Coronel Aparício Borges
4903;91720-012;Cascata
4904;91720-622;Cascata
4905;91740-521;Vila Nova
4906;91780-601;Ponta Grossa
4907;91787-381;Belém Velho
4908;91900-280;Tristeza
4909;91910-260;Camaquã
4910;91740-813;Vila Nova
4911;91430-490;Jardim Carvalho
4912;91120-260;Sarandi
4913;90245-001;Farrapos
4914;91540-500;Agronomia
4915;90830-700;Santa Tereza
4916;90870-311;Medianeira
4917;91910-004;Camaquã
4918;91740-070;Nonoai
4919;90840-080;Santa Tereza
4920;91755-390;Aberta dos Morros
4921;90820-110;Cristal
4922;91920-660;Tristeza
4923;91750-082;Campo Novo
4924;91712-091;Cascata
4925;91430-470;Jardim Carvalho
4926;91520-532;Vila São José
4927;91710-081;Coronel Aparício Borges
4928;91720-012;Cascata
4929;91720-622;Cascata
4930;91740-521;Vila Nova
4931;91780-601;Ponta Grossa
4932;91787-381;Belém Velho
4933;91900-280;Tristeza
4934;91910-260;Camaquã
4935;91740-813;Vila Nova
4936;91430-490;Jardim Carvalho
4937;91120-260;Sarandi
4938;90245-001;Farrapos
4939;91540-500;Agronomia
4940;90830-700;Santa Tereza
4941;90870-311;Medianeira
4942;91910-004;Camaquã
4943;91740-070;Nonoai
4944;90840-080;Santa Tereza
4945;91755-390;Aberta dos Morros
4946;90820-110;Cristal
4947;91920-660;Tristeza
4948;91750-082;Campo Novo
4949;91712-091;Cascata
4950;91430-470;Jardim Carvalho
4951;91520-532;Vila São José
4952;91710-081;Coronel Aparício Borges
4953;91720-012;Cascata
4954;91720-622;Cascata
4955;91740-521;Vila Nova
4956;91780-601;Ponta Grossa
4957;91787-381;Belém Velho
4958;91900-280;Tristeza
4959;91910-260;Camaquã
4960;91740-813;Vila Nova
4961;91430-490;Jardim Carvalho
4962;91120-260;Sarandi
4963;90245-001;Farrapos
4964;91540-500;Agronomia
4965;90830-700;Santa Tereza
4966;90870-311;Medianeira
4967;91910-004;Camaquã
4968;91740-070;Nonoai
4969;90840-080;Santa Tereza
4970;91755-390;Aberta dos Morros
4971;90820-110;Cristal
4972;91920-660;Tristeza
4973;91750-082;Campo Novo
4974;91712-091;Cascata
4975;90050-230;Cidade Baixa
4976;90010-250;Centro Histórico
4977;91540-070;Lomba do Pinheiro
4978;91790-322;Restinga
4979;91790-519;Restinga
4980;91790-512;Restinga
4981;91790-229;Restinga
4982;91792-800;Restinga
4983;91790-879;Restinga
4984;91791-890;Restinga
4985;91790-117;Restinga
4986;91791-800;Restinga
4987;91791-099;Restinga
4988;91791-550;Restinga
4989;91791-231;Restinga
4990;91791-540;Restinga
4991;91796-101;Lomba do Pinheiro
4992;91796-000;Lomba do Pinheiro
4993;91796-119;Lomba do Pinheiro
4994;91796-022;Lomba do Pinheiro
4995;91796-141;Lomba do Pinheiro
4996;91796-062;Lomba do Pinheiro
4997;91796-161;Lomba do Pinheiro
4998;91796-070;Lomba do Pinheiro
4999;91796-181;Lomba do Pinheiro
5000;90050-230;Cidade Baixa
5001;90010-250;Centro Histórico
5002;91540-070;Lomba do Pinheiro
5003;91790-322;Restinga
5004;91790-519;Restinga
5005;91790-512;Restinga
5006;91790-229;Restinga
5007;91792-800;Restinga
5008;91790-879;Restinga
5009;91791-890;Restinga
5010;91790-117;Restinga
5011;91791-800;Restinga
5012;91791-099;Restinga
5013;91791-550;Restinga
5014;91791-231;Restinga
5015;91791-540;Restinga
5016;91796-101;Lomba do Pinheiro
5017;91796-000;Lomba do Pinheiro
5018;91796-119;Lomba do Pinheiro
5019;91796-022;Lomba do Pinheiro
5020;91796-141;Lomba do Pinheiro
5021;91796-062;Lomba do Pinheiro
5022;91796-161;Lomba do Pinheiro
5023;91796-070;Lomba do Pinheiro
5024;91796-181;Lomba do Pinheiro
5025;90050-230;Cidade Baixa
5026;90010-250;Centro Histórico
5027;91540-070;Lomba do Pinheiro
5028;91790-322;Restinga
5029;91790-519;Restinga
5030;91790-512;Restinga
5031;91790-229;Restinga
5032;91792-800;Restinga
5033;91790-879;Restinga
5034;91791-890;Restinga
5035;91790-117;Restinga
5036;91791-800;Restinga
5037;91791-099;Restinga
5038;91791-550;Restinga
5039;91791-231;Restinga
5040;91791-540;Restinga
5041;91796-101;Lomba do Pinheiro
5042;91796-000;Lomba do Pinheiro
5043;91796-119;Lomba do Pinheiro
5044;91796-022;Lomba do Pinheiro
5045;91796-141;Lomba do Pinheiro
5046;91796-062;Lomba do Pinheiro
5047;91796-161;Lomba do Pinheiro
5048;91796-070;Lomba do Pinheiro
5049;91796-181;Lomba do Pinheiro
5050;90050-230;Cidade Baixa
5051;90010-250;Centro Histórico
5052;91540-070;Lomba do Pinheiro
5053;91790-322;Restinga
5054;91790-519;Restinga
5055;91790-512;Restinga
5056;91790-229;Restinga
5057;91792-800;Restinga
5058;91790-879;Restinga
5059;91791-890;Restinga
5060;91790-117;Restinga
5061;91791-800;Restinga
5062;91791-099;Restinga
5063;91791-550;Restinga
5064;91791-231;Restinga
5065;91791-540;Restinga
5066;91796-101;Lomba do Pinheiro
5067;91796-000;Lomba do Pinheiro
5068;91796-119;Lomba do Pinheiro
5069;91796-022;Lomba do Pinheiro
5070;91796-141;Lomba do Pinheiro
5071;91796-062;Lomba do Pinheiro
5072;91796-161;Lomba do Pinheiro
5073;91796-070;Lomba do Pinheiro
5074;91796-181;Lomba do Pinheiro
5075;90050-230;Cidade Baixa
5076;90010-250;Centro Histórico
5077;91540-070;Lomba do Pinheiro
5078;91790-322;Restinga
5079;91790-519;Restinga
5080;91790-512;Restinga
5081;91790-229;Restinga
5082;91792-800;Restinga
5083;91790-879;Restinga
5084;91791-890;Restinga
5085;91790-117;Restinga
5086;91791-800;Restinga
5087;91791-099;Restinga
5088;91791-550;Restinga
5089;91791-231;Restinga
5090;91791-540;Restinga
5091;91796-101;Lomba do Pinheiro
5092;91796-000;Lomba do Pinheiro
5093;91796-119;Lomba do Pinheiro
5094;91796-022;Lomba do Pinheiro
5095;91796-141;Lomba do Pinheiro
5096;91796-062;Lomba do Pinheiro
5097;91796-161;Lomba do Pinheiro
5098;91796-070;Lomba do Pinheiro
5099;91796-181;Lomba do Pinheiro
5100;90050-230;Cidade Baixa
5101;90010-250;Centro Histórico
5102;91540-070;Lomba do Pinheiro
5103;91790-322;Restinga
5104;91790-519;Restinga
5105;91790-512;Restinga
5106;91790-229;Restinga
5107;91792-800;Restinga
5108;91790-879;Restinga
5109;91791-890;Restinga
5110;91790-117;Restinga
5111;91791-800;Restinga
5112;91791-099;Restinga
5113;91791-550;Restinga
5114;91791-231;Restinga
5115;91791-540;Restinga
5116;91796-101;Lomba do Pinheiro
5117;91796-000;Lomba do Pinheiro
5118;91796-119;Lomba do Pinheiro
5119;91796-022;Lomba do Pinheiro
5120;91796-141;Lomba do Pinheiro
5121;91796-062;Lomba do Pinheiro
5122;91796-161;Lomba do Pinheiro
5123;91796-070;Lomba do Pinheiro
5124;91796-181;Lomba do Pinheiro
5125;90050-230;Cidade Baixa
5126;90010-250;Centro Histórico
5127;91540-070;Lomba do Pinheiro
5128;91790-322;Restinga
5129;91790-519;Restinga
5130;91790-512;Restinga
5131;91790-229;Restinga
5132;91792-800;Restinga
5133;91790-879;Restinga
5134;91791-890;Restinga
5135;91790-117;Restinga
5136;91791-800;Restinga
5137;91791-099;Restinga
5138;91791-550;Restinga
5139;91791-231;Restinga
5140;91791-540;Restinga
5141;91796-101;Lomba do Pinheiro
5142;91796-000;Lomba do Pinheiro
5143;91796-119;Lomba do Pinheiro
5144;91796-022;Lomba do Pinheiro
5145;91796-141;Lomba do Pinheiro
5146;91796-062;Lomba do Pinheiro
5147;91796-161;Lomba do Pinheiro
5148;91796-070;Lomba do Pinheiro
5149;91796-181;Lomba do Pinheiro
5150;90050-230;Cidade Baixa
5151;90010-250;Centro Histórico
5152;91540-070;Lomba do Pinheiro
5153;91790-322;Restinga
5154;91790-519;Restinga
5155;91790-512;Restinga
5156;91790-229;Restinga
5157;91792-800;Restinga
5158;91790-879;Restinga
5159;91791-890;Restinga
5160;91790-117;Restinga
5161;91791-800;Restinga
5162;91791-099;Restinga
5163;91791-550;Restinga
5164;91791-231;Restinga
5165;91791-540;Restinga
5166;91796-101;Lomba do Pinheiro
5167;91796-000;Lomba do Pinheiro
5168;91796-119;Lomba do Pinheiro
5169;91796-022;Lomba do Pinheiro
5170;91796-141;Lomba do Pinheiro
5171;91796-062;Lomba do Pinheiro
5172;91796-161;Lomba do Pinheiro
5173;91796-070;Lomba do Pinheiro
5174;91796-181;Lomba do Pinheiro
5175;90050-230;Cidade Baixa
5176;90010-250;Centro Histórico
5177;91540-070;Lomba do Pinheiro
5178;91790-322;Restinga
5179;91790-519;Restinga
5180;91790-512;Restinga
5181;91790-229;Restinga
5182;91792-800;Restinga
5183;91790-879;Restinga
5184;91791-890;Restinga
5185;91790-117;Restinga
5186;91791-800;Restinga
5187;91791-099;Restinga
5188;91791-550;Restinga
5189;91791-231;Restinga
5190;91791-540;Restinga
5191;91796-101;Lomba do Pinheiro
5192;91796-000;Lomba do Pinheiro
5193;91796-119;Lomba do Pinheiro
5194;91796-022;Lomba do Pinheiro
5195;91796-141;Lomba do Pinheiro
5196;91796-062;Lomba do Pinheiro
5197;91796-161;Lomba do Pinheiro
5198;91796-070;Lomba do Pinheiro
5199;91796-181;Lomba do Pinheiro
5200;90050-230;Cidade Baixa
5201;90010-250;Centro Histórico
5202;91540-070;Lomba do Pinheiro
5203;91790-322;Restinga
5204;91790-519;Restinga
5205;91790-512;Restinga
5206;91790-229;Restinga
5207;91792-800;Restinga
5208;91790-879;Restinga
5209;91791-890;Restinga
5210;91790-117;Restinga
5211;91791-800;Restinga
5212;91791-099;Restinga
5213;91791-550;Restinga
5214;91791-231;Restinga
5215;91791-540;Restinga
5216;91796-101;Lomba do Pinheiro
5217;91796-000;Lomba do Pinheiro
5218;91796-119;Lomba do Pinheiro
5219;91796-022;Lomba do Pinheiro
5220;91796-141;Lomba do Pinheiro
5221;91796-062;Lomba do Pinheiro
5222;91796-161;Lomba do Pinheiro
5223;91796-070;Lomba do Pinheiro
5224;91796-181;Lomba do Pinheiro
5225;90050-230;Cidade Baixa
5226;90010-250;Centro Histórico
5227;91540-070;Lomba do Pinheiro
5228;91790-322;Restinga
5229;91790-519;Restinga
5230;91790-512;Restinga
5231;91790-229;Restinga
5232;91792-800;Restinga
5233;91790-879;Restinga
5234;91791-890;Restinga
5235;91790-117;Restinga
5236;91791-800;Restinga
5237;91791-099;Restinga
5238;91791-550;Restinga
5239;91791-231;Restinga
5240;91791-540;Restinga
5241;91796-101;Lomba do Pinheiro
5242;91796-000;Lomba do Pinheiro
5243;91796-119;Lomba do Pinheiro
5244;91796-022;Lomba do Pinheiro
5245;91796-141;Lomba do Pinheiro
5246;91796-062;Lomba do Pinheiro
5247;91796-161;Lomba do Pinheiro
5248;91796-070;Lomba do Pinheiro
5249;91796-181;Lomba do Pinheiro
5250;90050-230;Cidade Baixa
5251;90010-250;Centro Histórico
5252;91540-070;Lomba do Pinheiro
5253;91790-322;Restinga
5254;91790-519;Restinga
5255;91790-512;Restinga
5256;91790-229;Restinga
5257;91792-800;Restinga
5258;91790-879;Restinga
5259;91791-890;Restinga
5260;91790-117;Restinga
5261;91791-800;Restinga
5262;91791-099;Restinga
5263;91791-550;Restinga
5264;91791-231;Restinga
5265;91791-540;Restinga
5266;91796-101;Lomba do Pinheiro
5267;91796-000;Lomba do Pinheiro
5268;91796-119;Lomba do Pinheiro
5269;91796-022;Lomba do Pinheiro
5270;91796-141;Lomba do Pinheiro
5271;91796-062;Lomba do Pinheiro
5272;91796-161;Lomba do Pinheiro
5273;91796-070;Lomba do Pinheiro
5274;91796-181;Lomba do Pinheiro
5275;90050-230;Cidade Baixa
5276;90010-250;Centro Histórico
5277;91540-070;Lomba do Pinheiro
5278;91790-322;Restinga
5279;91790-519;Restinga
5280;91790-512;Restinga
5281;91790-229;Restinga
5282;91792-800;Restinga
5283;91790-879;Restinga
5284;91791-890;Restinga
5285;91790-117;Restinga
5286;91791-800;Restinga
5287;91791-099;Restinga
5288;91791-550;Restinga
5289;91791-231;Restinga
5290;91791-540;Restinga
5291;91796-101;Lomba do Pinheiro
5292;91796-000;Lomba do Pinheiro
5293;91796-119;Lomba do Pinheiro
5294;91796-022;Lomba do Pinheiro
5295;91796-141;Lomba do Pinheiro
5296;91796-062;Lomba do Pinheiro
5297;91796-161;Lomba do Pinheiro
5298;91796-070;Lomba do Pinheiro
5299;91796-181;Lomba do Pinheiro
5300;90050-230;Cidade Baixa
5301;90010-250;Centro Histórico
5302;91540-070;Lomba do Pinheiro
5303;91790-322;Restinga
5304;91790-519;Restinga
5305;91790-512;Restinga
5306;91790-229;Restinga
5307;91792-800;Restinga
5308;91790-879;Restinga
5309;91791-890;Restinga
5310;91790-117;Restinga
5311;91791-800;Restinga
5312;91791-099;Restinga
5313;91791-550;Restinga
5314;91791-231;Restinga
5315;91791-540;Restinga
5316;91796-101;Lomba do Pinheiro
5317;91796-000;Lomba do Pinheiro
5318;91796-119;Lomba do Pinheiro
5319;91796-022;Lomba do Pinheiro
5320;91796-141;Lomba do Pinheiro
5321;91796-062;Lomba do Pinheiro
5322;91796-161;Lomba do Pinheiro
5323;91796-070;Lomba do Pinheiro
5324;91796-181;Lomba do Pinheiro
5325;90050-230;Cidade Baixa
5326;90010-250;Centro Histórico
5327;91540-070;Lomba do Pinheiro
5328;91790-322;Restinga
5329;91790-519;Restinga
5330;91790-512;Restinga
5331;91790-229;Restinga
5332;91792-800;Restinga
5333;91790-879;Restinga
5334;91791-890;Restinga
5335;91790-117;Restinga
5336;91791-800;Restinga
5337;91791-099;Restinga
5338;91791-550;Restinga
5339;91791-231;Restinga
5340;91791-540;Restinga
5341;91796-101;Lomba do Pinheiro
5342;91796-000;Lomba do Pinheiro
5343;91796-119;Lomba do Pinheiro
5344;91796-022;Lomba do Pinheiro
5345;91796-141;Lomba do Pinheiro
5346;91796-062;Lomba do Pinheiro
5347;91796-161;Lomba do Pinheiro
5348;91796-070;Lomba do Pinheiro
5349;91796-181;Lomba do Pinheiro
5350;90050-230;Cidade Baixa
5351;90010-250;Centro Histórico
5352;91540-070;Lomba do Pinheiro
5353;91790-322;Restinga
5354;91790-519;Restinga
5355;91790-512;Restinga
5356;91790-229;Restinga
5357;91792-800;Restinga
5358;91790-879;Restinga
5359;91791-890;Restinga
5360;91790-117;Restinga
5361;91791-800;Restinga
5362;91791-099;Restinga
5363;91791-550;Restinga
5364;91791-231;Restinga
5365;91791-540;Restinga
5366;91796-101;Lomba do Pinheiro
5367;91796-000;Lomba do Pinheiro
5368;91796-119;Lomba do Pinheiro
5369;91796-022;Lomba do Pinheiro
5370;91796-141;Lomba do Pinheiro
5371;91796-062;Lomba do Pinheiro
5372;91796-161;Lomba do Pinheiro
5373;91796-070;Lomba do Pinheiro
5374;91796-181;Lomba do Pinheiro
5375;90050-230;Cidade Baixa
5376;90010-250;Centro Histórico
5377;91540-070;Lomba do Pinheiro
5378;91790-322;Restinga
5379;91790-519;Restinga
5380;91790-512;Restinga
5381;91790-229;Restinga
5382;91792-800;Restinga
5383;91790-879;Restinga
5384;91791-890;Restinga
5385;91790-117;Restinga
5386;91791-800;Restinga
5387;91791-099;Restinga
5388;91791-550;Restinga
5389;91791-231;Restinga
5390;91791-540;Restinga
5391;91796-101;Lomba do Pinheiro
5392;91796-000;Lomba do Pinheiro
5393;91796-119;Lomba do Pinheiro
5394;91796-022;Lomba do Pinheiro
5395;91796-141;Lomba do Pinheiro
5396;91796-062;Lomba do Pinheiro
5397;91796-161;Lomba do Pinheiro
5398;91796-070;Lomba do Pinheiro
5399;91796-181;Lomba do Pinheiro
5400;90050-230;Cidade Baixa
5401;90010-250;Centro Histórico
5402;91540-070;Lomba do Pinheiro
5403;91790-322;Restinga
5404;91790-519;Restinga
5405;91790-512;Restinga
5406;91790-229;Restinga
5407;91792-800;Restinga
5408;91790-879;Restinga
5409;91791-890;Restinga
5410;91790-117;Restinga
5411;91791-800;Restinga
5412;91791-099;Restinga
5413;91791-550;Restinga
5414;91791-231;Restinga
5415;91791-540;Restinga
5416;91796-101;Lomba do Pinheiro
5417;91796-000;Lomba do Pinheiro
5418;91796-119;Lomba do Pinheiro
5419;91796-022;Lomba do Pinheiro
5420;91796-141;Lomba do Pinheiro
5421;91796-062;Lomba do Pinheiro
5422;91796-161;Lomba do Pinheiro
5423;91796-070;Lomba do Pinheiro
5424;91796-181;Lomba do Pinheiro
5425;90050-230;Cidade Baixa
5426;90010-250;Centro Histórico
5427;91540-070;Lomba do Pinheiro
5428;91790-322;Restinga
5429;91790-519;Restinga
5430;91790-512;Restinga
5431;91790-229;Restinga
5432;91792-800;Restinga
5433;91790-879;Restinga
5434;91791-890;Restinga
5435;91790-117;Restinga
5436;91791-800;Restinga
5437;91791-099;Restinga
5438;91791-550;Restinga
5439;91791-231;Restinga
5440;91791-540;Restinga
5441;91796-101;Lomba do Pinheiro
5442;91796-000;Lomba do Pinheiro
5443;91796-119;Lomba do Pinheiro
5444;91796-022;Lomba do Pinheiro
5445;91796-141;Lomba do Pinheiro
5446;91796-062;Lomba do Pinheiro
5447;91796-161;Lomba do Pinheiro
5448;91796-070;Lomba do Pinheiro
5449;91796-181;Lomba do Pinheiro
5450;90050-230;Cidade Baixa
5451;90010-250;Centro Histórico
5452;91540-070;Lomba do Pinheiro
5453;91790-322;Restinga
5454;91790-519;Restinga
5455;91790-512;Restinga
5456;91790-229;Restinga
5457;91792-800;Restinga
5458;91790-879;Restinga
5459;91791-890;Restinga
5460;91790-117;Restinga
5461;91791-800;Restinga
5462;91791-099;Restinga
5463;91791-550;Restinga
5464;91791-231;Restinga
5465;91791-540;Restinga
5466;91796-101;Lomba do Pinheiro
5467;91796-000;Lomba do Pinheiro
5468;91796-119;Lomba do Pinheiro
5469;91796-022;Lomba do Pinheiro
5470;91796-141;Lomba do Pinheiro
5471;91796-062;Lomba do Pinheiro
5472;91796-161;Lomba do Pinheiro
5473;91796-070;Lomba do Pinheiro
5474;91796-181;Lomba do Pinheiro
5475;90050-230;Cidade Baixa
5476;90010-250;Centro Histórico
5477;91540-070;Lomba do Pinheiro
5478;91790-322;Restinga
5479;91790-519;Restinga
5480;91790-512;Restinga
5481;91790-229;Restinga
5482;91792-800;Restinga
5483;91790-879;Restinga
5484;91791-890;Restinga
5485;91790-117;Restinga
5486;91791-800;Restinga
5487;91791-099;Restinga
5488;91791-550;Restinga
5489;91791-231;Restinga
5490;91791-540;Restinga
5491;91796-101;Lomba do Pinheiro
5492;91796-000;Lomba do Pinheiro
5493;91796-119;Lomba do Pinheiro
5494;91796-022;Lomba do Pinheiro
5495;91796-141;Lomba do Pinheiro
5496;91796-062;Lomba do Pinheiro
5497;91796-161;Lomba do Pinheiro
5498;91796-070;Lomba do Pinheiro
5499;91796-181;Lomba do Pinheiro
5500;90050-230;Cidade Baixa
5501;90010-250;Centro Histórico
5502;91540-070;Lomba do Pinheiro
5503;91790-322;Restinga
5504;91790-519;Restinga
5505;91790-512;Restinga
5506;91790-229;Restinga
5507;91792-800;Restinga
5508;91790-879;Restinga
5509;91791-890;Restinga
5510;91790-117;Restinga
5511;91791-800;Restinga
5512;91791-099;Restinga
5513;91791-550;Restinga
5514;91791-231;Restinga
5515;91791-540;Restinga
5516;91796-101;Lomba do Pinheiro
5517;91796-000;Lomba do Pinheiro
5518;91796-119;Lomba do Pinheiro
5519;91796-022;Lomba do Pinheiro
5520;91796-141;Lomba do Pinheiro
5521;91796-062;Lomba do Pinheiro
5522;91796-161;Lomba do Pinheiro
5523;91796-070;Lomba do Pinheiro
5524;91796-181;Lomba do Pinheiro
5525;90050-230;Cidade Baixa
5526;90010-250;Centro Histórico
5527;91540-070;Lomba do Pinheiro
5528;91790-322;Restinga
5529;91790-519;Restinga
5530;91790-512;Restinga
5531;91790-229;Restinga
5532;91792-800;Restinga
5533;91790-879;Restinga
5534;91791-890;Restinga
5535;91790-117;Restinga
5536;91791-800;Restinga
5537;91791-099;Restinga
5538;91791-550;Restinga
5539;91791-231;Restinga
5540;91791-540;Restinga
5541;91796-101;Lomba do Pinheiro
5542;91796-000;Lomba do Pinheiro
5543;91796-119;Lomba do Pinheiro
5544;91796-022;Lomba do Pinheiro
5545;91796-141;Lomba do Pinheiro
5546;91796-062;Lomba do Pinheiro
5547;91796-161;Lomba do Pinheiro
5548;91796-070;Lomba do Pinheiro
5549;91796-181;Lomba do Pinheiro
5550;90050-230;Cidade Baixa
5551;90010-250;Centro Histórico
5552;91540-070;Lomba do Pinheiro
5553;91790-322;Restinga
5554;91790-519;Restinga
5555;91790-512;Restinga
5556;91790-229;Restinga
5557;91792-800;Restinga
5558;91790-879;Restinga
5559;91791-890;Restinga
5560;91790-117;Restinga
5561;91791-800;Restinga
5562;91791-099;Restinga
5563;91791-550;Restinga
5564;91791-231;Restinga
5565;91791-540;Restinga
5566;91796-101;Lomba do Pinheiro
5567;91796-000;Lomba do Pinheiro
5568;91796-119;Lomba do Pinheiro
5569;91796-022;Lomba do Pinheiro
5570;91796-141;Lomba do Pinheiro
5571;91796-062;Lomba do Pinheiro
5572;91796-161;Lomba do Pinheiro
5573;91796-070;Lomba do Pinheiro
5574;91796-181;Lomba do Pinheiro
5575;90050-230;Cidade Baixa
5576;90010-250;Centro Histórico
5577;91540-070;Lomba do Pinheiro
5578;91790-322;Restinga
5579;91790-519;Restinga
5580;91790-512;Restinga
5581;91790-229;Restinga
5582;91792-800;Restinga
5583;91790-879;Restinga
5584;91791-890;Restinga
5585;91790-117;Restinga
5586;91791-800;Restinga
5587;91791-099;Restinga
5588;91791-550;Restinga
5589;91791-231;Restinga
5590;91791-540;Restinga
5591;91796-101;Lomba do Pinheiro
5592;91796-000;Lomba do Pinheiro
5593;91796-119;Lomba do Pinheiro
5594;91796-022;Lomba do Pinheiro
5595;91796-141;Lomba do Pinheiro
5596;91796-062;Lomba do Pinheiro
5597;91796-161;Lomba do Pinheiro
5598;91796-070;Lomba do Pinheiro
5599;91796-181;Lomba do Pinheiro
5600;90050-230;Cidade Baixa
5601;90010-250;Centro Histórico
5602;91540-070;Lomba do Pinheiro
5603;91790-322;Restinga
5604;91790-519;Restinga
5605;91790-512;Restinga
5606;91790-229;Restinga
5607;91792-800;Restinga
5608;91790-879;Restinga
5609;91791-890;Restinga
5610;91790-117;Restinga
5611;91791-800;Restinga
5612;91791-099;Restinga
5613;91791-550;Restinga
5614;91791-231;Restinga
5615;91791-540;Restinga
5616;91796-101;Lomba do Pinheiro
5617;91796-000;Lomba do Pinheiro
5618;91796-119;Lomba do Pinheiro
5619;91796-022;Lomba do Pinheiro
5620;91796-141;Lomba do Pinheiro
5621;91796-062;Lomba do Pinheiro
5622;91796-161;Lomba do Pinheiro
5623;91796-070;Lomba do Pinheiro
5624;91796-181;Lomba do Pinheiro
5625;90050-230;Cidade Baixa
5626;90010-250;Centro Histórico
5627;91540-070;Lomba do Pinheiro
5628;91790-322;Restinga
5629;91790-519;Restinga
5630;91790-512;Restinga
5631;91790-229;Restinga
5632;91792-800;Restinga
5633;91790-879;Restinga
5634;91791-890;Restinga
5635;91790-117;Restinga
5636;91791-800;Restinga
5637;91791-099;Restinga
5638;91791-550;Restinga
5639;91791-231;Restinga
5640;91791-540;Restinga
5641;91796-101;Lomba do Pinheiro
5642;91796-000;Lomba do Pinheiro
5643;91796-119;Lomba do Pinheiro
5644;91796-022;Lomba do Pinheiro
5645;91796-141;Lomba do Pinheiro
5646;91796-062;Lomba do Pinheiro
5647;91796-161;Lomba do Pinheiro
5648;91796-070;Lomba do Pinheiro
5649;91796-181;Lomba do Pinheiro
5650;90050-230;Cidade Baixa
5651;90010-250;Centro Histórico
5652;91540-070;Lomba do Pinheiro
5653;91790-322;Restinga
5654;91790-519;Restinga
5655;91790-512;Restinga
5656;91790-229;Restinga
5657;91792-800;Restinga
5658;91790-879;Restinga
5659;91791-890;Restinga
5660;91790-117;Restinga
5661;91791-800;Restinga
5662;91791-099;Restinga
5663;91791-550;Restinga
5664;91791-231;Restinga
5665;91791-540;Restinga
5666;91796-101;Lomba do Pinheiro
5667;91796-000;Lomba do Pinheiro
5668;91796-119;Lomba do Pinheiro
5669;91796-022;Lomba do Pinheiro
5670;91796-141;Lomba do Pinheiro
5671;91796-062;Lomba do Pinheiro
5672;91796-161;Lomba do Pinheiro
5673;91796-070;Lomba do Pinheiro
5674;91796-181;Lomba do Pinheiro
5675;90050-230;Cidade Baixa
5676;90010-250;Centro Histórico
5677;91540-070;Lomba do Pinheiro
5678;91790-322;Restinga
5679;91790-519;Restinga
5680;91790-512;Restinga
5681;91790-229;Restinga
5682;91792-800;Restinga
5683;91790-879;Restinga
5684;91791-890;Restinga
5685;91790-117;Restinga
5686;91791-800;Restinga
5687;91791-099;Restinga
5688;91791-550;Restinga
5689;91791-231;Restinga
5690;91791-540;Restinga
5691;91796-101;Lomba do Pinheiro
5692;91796-000;Lomba do Pinheiro
5693;91796-119;Lomba do Pinheiro
5694;91796-022;Lomba do Pinheiro
5695;91796-141;Lomba do Pinheiro
5696;91796-062;Lomba do Pinheiro
5697;91796-161;Lomba do Pinheiro
5698;91796-070;Lomba do Pinheiro
5699;91796-181;Lomba do Pinheiro
5700;90050-230;Cidade Baixa
5701;90010-250;Centro Histórico
5702;91540-070;Lomba do Pinheiro
5703;91790-322;Restinga
5704;91790-519;Restinga
5705;91790-512;Restinga
5706;91790-229;Restinga
5707;91792-800;Restinga
5708;91790-879;Restinga
5709;91791-890;Restinga
5710;91790-117;Restinga
5711;91791-800;Restinga
5712;91791-099;Restinga
5713;91791-550;Restinga
5714;91791-231;Restinga
5715;91791-540;Restinga
5716;91796-101;Lomba do Pinheiro
5717;91796-000;Lomba do Pinheiro
5718;91796-119;Lomba do Pinheiro
5719;91796-022;Lomba do Pinheiro
5720;91796-141;Lomba do Pinheiro
5721;91796-062;Lomba do Pinheiro
5722;91796-161;Lomba do Pinheiro
5723;91796-070;Lomba do Pinheiro
5724;91796-181;Lomba do Pinheiro
5725;90050-230;Cidade Baixa
5726;90010-250;Centro Histórico
5727;91540-070;Lomba do Pinheiro
5728;91790-322;Restinga
5729;91790-519;Restinga
5730;91790-512;Restinga
5731;91790-229;Restinga
5732;91792-800;Restinga
5733;91790-879;Restinga
5734;91791-890;Restinga
5735;91790-117;Restinga
5736;91791-800;Restinga
5737;91791-099;Restinga
5738;91791-550;Restinga
5739;91791-231;Restinga
5740;91791-540;Restinga
5741;91796-101;Lomba do Pinheiro
5742;91796-000;Lomba do Pinheiro
5743;91796-119;Lomba do Pinheiro
