;cep;bairro
3067;91910-004;Camaquã
3068;91740-070;Nonoai
3069;90840-080;Santa Tereza
3070;91755-390;Aberta dos Morros
3071;90820-110;Cristal
3072;91920-660;Tristeza
3073;91750-082;Campo Novo
3074;91712-091;Cascata
3075;91430-470;Jardim Carvalho
3076;91520-532;Vila São José
3077;91710-081;Coronel Aparício Borges
3078;91720-012;Cascata
3079;91720-622;Cascata
3080;91740-521;Vila Nova
3081;91780-601;Ponta Grossa
3082;91787-381;Belém Velho
3083;91900-280;Tristeza
3084;91910-260;Camaquã
3085;91740-813;Vila Nova
3086;91430-490;Jardim Carvalho
3087;91120-260;Sarandi
3088;90245-001;Farrapos
3089;91540-500;Agronomia
3090;90830-700;Santa Tereza
3091;90870-311;Medianeira
3092;91910-004;Camaquã
3093;91740-070;Nonoai
3094;90840-080;Santa Tereza
3095;91755-390;Aberta dos Morros
3096;90820-110;Cristal
3097;91920-660;Tristeza
3098;91750-082;Campo Novo
3099;91712-091;Cascata
3100;91430-470;Jardim Carvalho
3101;91520-532;Vila São José
3102;91710-081;Coronel Aparício Borges
3103;91720-012;Cascata
3104;91720-622;Cascata
3105;91740-521;Vila Nova
3106;91780-601;Ponta Grossa
3107;91787-381;Belém Velho
3108;91900-280;Tristeza
3109;91910-260;Camaquã
3110;91740-813;Vila Nova
3111;91430-490;Jardim Carvalho
3112;91120-260;Sarandi
3113;90245-001;Farrapos
3114;91540-500;Agronomia
3115;90830-700;Santa Tereza
3116;90870-311;Medianeira
3117;91910-004;Camaquã
3118;91740-070;Nonoai
3119;90840-080;Santa Tereza
3120;91755-390;Aberta dos Morros
3121;90820-110;Cristal
3122;91920-660;Tristeza
3123;91750-082;Campo Novo
3124;91712-091;Cascata
3125;91430-470;Jardim Carvalho
3126;91520-532;Vila São José
3127;91710-081;Coronel Aparício Borges
3128;91720-012;Cascata
3129;91720-622;Cascata
3130;91740-521;Vila Nova
3131;91780-601;Ponta Grossa
3132;91787-381;Belém Velho
3133;91900-280;Tristeza
3134;91910-260;Camaquã
3135;91740-813;Vila Nova
3136;91430-490;Jardim Carvalho
3137;91120-260;Sarandi
3138;90245-001;Farrapos
3139;91540-500;Agronomia
3140;90830-700;Santa Tereza
3141;90870-311;Medianeira
3142;91910-004;Camaquã
3143;91740-070;Nonoai
3144;90840-080;Santa Tereza
3145;91755-390;Aberta dos Morros
3146;90820-110;Cristal
3147;91920-660;Tristeza
3148;91750-082;Campo Novo
3149;91712-091;Cascata
3150;91430-470;Jardim Carvalho
3151;91520-532;Vila São José
3152;91710-081;Coronel Aparício Borges
3153;91720-012;Cascata
3154;91720-622;Cascata
3155;91740-521;Vila Nova
3156;91780-601;Ponta Grossa
3157;91787-381;Belém Velho
3158;91900-280;Tristeza
3159;91910-260;Camaquã
3160;91740-813;Vila Nova
3161;91430-490;Jardim Carvalho
3162;91120-260;Sarandi
3163;90245-001;Farrapos
3164;91540-500;Agronomia
3165;90830-700;Santa Tereza
3166;90870-311;Medianeira
3167;91910-004;Camaquã
3168;91740-070;Nonoai
3169;90840-080;Santa Tereza
3170;91755-390;Aberta dos Morros
3171;90820-110;Cristal
3172;91920-660;Tristeza
3173;91750-082;Campo Novo
3174;91712-091;Cascata
3175;91430-470;Jardim Carvalho
3176;91520-532;Vila São José
3177;91710-081;Coronel Aparício Borges
3178;91720-012;Cascata
3179;91720-622;Cascata
3180;91740-521;Vila Nova
3181;91780-601;Ponta Grossa
3182;91787-381;Belém Velho
3183;91900-280;Tristeza
3184;91910-260;Camaquã
3185;91740-813;Vila Nova
3186;91430-490;Jardim Carvalho
3187;91120-260;Sarandi
3188;90245-001;Farrapos
3189;91540-500;Agronomia
3190;90830-700;Santa Tereza
3191;90870-311;Medianeira
3192;91910-004;Camaquã
3193;91740-070;Nonoai
3194;90840-080;Santa Tereza
3195;91755-390;Aberta dos Morros
3196;90820-110;Cristal
3197;91920-660;Tristeza
3198;91750-082;Campo Novo
3199;91712-091;Cascata
3200;91430-470;Jardim Carvalho
3201;91520-532;Vila São José
3202;91710-081;Coronel Aparício Borges
3203;91720-012;Cascata
3204;91720-622;Cascata
3205;91740-521;Vila Nova
3206;91780-601;Ponta Grossa
3207;91787-381;Belém Velho
3208;91900-280;Tristeza
3209;91910-260;Camaquã
3210;91740-813;Vila Nova
3211;91430-490;Jardim Carvalho
3212;91120-260;Sarandi
3213;90245-001;Farrapos
